"Date" "Hydraulic" "Pumping_Turbine" "Nuclear" "Coal" "Combined_cycle" "Wind" "Solar_Photovoltaic" "Solar_Thermal" "Other_Renewables" "Cogeneration" "Electricity" "Consumption" "Gas_Price" "CO2_Price" "Balance_France" "Balance_Portugal" "Balance_Morocco"
"86" "02/2017" 1956.588323 267.739588 4766.657187 3502.94506 1774.794254 4928.506467 445.436885 88.740902 289.719825 2209.564575 53.04 29635.321 21.7874333121725 5.13 -399691.14 -636788.35 478834.67
"87" "03/2017" 2701.231049 241.223576 5269.133725 1943.034917 1708.967145 4724.369211 717.348576 340.844685 269.56085 2394.489806 43.93 28304.605 16.7911300655135 5.1 -1685131.44 -304231.88 543367.7
"88" "04/2017" 1897.982027 199.433452 4926.069892 2064.470818 1483.94006 4196.146968 836.604703 535.255478 232.816752 2235.475937 44.2 26158.395 18.01592 4.77 -1471269.04 -108635.8 536175.83
"89" "05/2017" 1935.428392 162.454971 4130.87031 3749.064244 1873.502101 3465.99628 872.979634 607.898177 298.767361 2329.243548 47.6 27102.815 18.0424075514718 4.7 -1844294.21 -172226.09 575408.9
"90" "06/2017" 1637.871499 91.897737 4034.332738 4544.526412 3394.960599 3192.372041 881.515888 761.902153 302.616869 2318.137434 50.77 30134.886 17.6632523638328 4.98 -1430613.6 -240606.75 530431.62
"91" "07/2017" 1193.059251 98.826694 4385.200742 4304.383765 4000.88025 3387.354827 917.559596 812.880286 333.388938 2401.133972 49.14 30170.865 16.8967089978635 5.27 -1392172.14 -466935.16 607806.1
"92" "08/2017" 1082.72689 112.205181 5078.952117 3226.266132 3770.345687 3343.930451 819.231922 692.435175 316.027454 2261.146194 48.04 29345.892 16.634118420559 5.65 -1704411.2 -723459.73 569696.02
"93" "09/2017" 1147.848444 118.471554 4722.573526 3058.567876 3445.411813 2872.13241 775.733923 608.142655 309.496322 2275.769964 49.55 28120.794 17.7153275792364 6.8 -1602753.08 -236115.75 475914.51
"94" "10/2017" 773.649914 133.820915 4301.325456 4097.649646 4178.05608 3208.246349 682.149995 398.793222 309.764021 2396.314915 57.59 27173.032 21.1968263687766 7.28 -1058329.06 347053.09 408258.89
"95" "11/2017" 832.696417 222.091267 3601.572414 4817.169298 4887.878708 3981.906256 540.731552 220.652322 307.753297 2444.67208 60.54 29088.442 24.1200386868452 7.59 45707.5600000001 -57390.13 354638.15
"96" "12/2017" 1250.895362 309.586467 5039.108604 4332.035567 3317.336475 5793.445763 432.304962 131.195329 312.975664 2493.241691 60.14 29932.403 26.2942567350412 7.54 -169155.09 229537.22 259139.44
"97" "01/2018" 2194.881995 273.436502 5096.325227 3218.625898 2519.734258 5348.580395 444.542511 112.387517 296.331783 2483.792116 51.78 30510.028 20.9011218399999 8.34 -1800254.39 -22076.43 467858.6
"98" "02/2018" 2388.895188 180.623013 4592.320568 3681.480831 2214.076313 4680.465501 511.075981 229.808151 301.601468 2254.612914 55.77 31842.184 22.9367540694053 9.48 -1306102.88 44280.36 391340.11
"99" "03/2018" 4402.434323 369.777722 4488.917022 1510.503706 1548.319038 7726.428209 591.497209 233.955943 271.633945 2337.945855 41.75 29836.572 23.4847986236865 11.54 713490.74 -860196.13 388572.41
"100" "04/2018" 4718.449012 345.637317 3812.588835 1543.645378 1495.045925 4461.453843 702.008961 325.935092 237.806487 2355.575946 43.55 27682.709 21.1236796755212 13.35 -1036601.7 -236751.07 377191.36
"101" "05/2018" 3523.168465 153.274348 3728.675001 2441.434957 2262.766635 3319.731904 813.590951 477.209634 291.745653 2420.884297 55.41 26971.95 22.4825654825444 14.78 -1851013.94 73813.3 403348.74
"102" "06/2018" 3718.076628 58.722832 3591.591351 2481.269406 2451.828687 2632.680233 819.813107 551.292603 304.801077 2407.025022 58.86 28258.494 23.0651927620962 15.16 -1568192.4 -493041.25 199047.37
"103" "07/2018" 3027.391874 35.299307 4471.023688 3729.627759 2513.179578 2576.189132 935.32061 858.89833 324.172961 2440.166851 62.32 29966.091 25.3459889061056 16.35 -1735539.68 -594820.25 444377.44
"104" "08/2018" 2105.596682 59.999606 5135.724891 3753.176102 2977.305828 3132.684652 847.494726 688.557997 317.406881 2364.810247 65 29725.138 26.4787066821373 18.88 -1123290.55 -323702.3 200554.41
"105" "09/2018" 1926.844889 39.235238 5013.034921 4355.469696 2461.237901 2458.498849 722.200637 465.636985 320.236339 2410.766165 71.78 28952.324 29.1299152997163 21.43 -1257953.99 -103618.02 247305.86
"106" "10/2018" 1462.712387 206.75096 5150.671803 3551.336563 2864.457698 4321.986964 571.934076 292.493431 297.768835 2522.643941 66.1 27426.531 26.8213325687661 19.56 -236512.33 152652.51 241713.2
"107" "11/2018" 2162.064789 138.760574 3829.983448 3983.446327 3527.115431 4559.010273 376.48489 78.576117 293.487149 2475.332175 62.94 29120.056 26.0684049566113 19.22 124045.71 -235293.87 35551.68
"108" "12/2018" 2486.725117 132.478591 4286.760675 3026.789093 3209.399903 4363.778911 430.214766 109.574874 300.446532 2533.201711 62.63 28583.715 25.3111759356503 22.57 -906530.49 -9115.84999999998 -33264.25
"109" "01/2019" 2127.215051 160.236159 5041.388826 3292.737912 3497.66044 6027.203735 507.327131 166.150129 304.554098 2674.800502 62.98 31473.869 25.1754024181637 23.24 -303495.79 162802.2 -123016.9
"110" "02/2019" 2483.405474 184.627656 4766.785658 2411.17859 2730.581106 3695.709607 634.799143 261.978603 285.703817 2394.849709 54.93 30083.06 20.9529892006499 20.99 -1529044.64 701618.56 -179845.52
"111" "03/2019" 2132.667288 182.227471 5274.747282 966.325098 2437.362725 4921.192632 812.728041 477.846093 310.426415 2594.57318 49.35 27971.187 18.0627285933652 21.95 -1947161.24 781367.06 -210653.1
"112" "04/2019" 1926.065412 129.466814 4621.662922 849.942221 3037.267222 4663.698402 703.515765 379.268817 275.230649 2492.475522 50.94 27165.679 16.73763608544 25.67 -1300136.47 311232.61 -107329.66
"113" "05/2019" 1935.367585 124.931376 3976.917465 465.000029 4223.793661 4677.077559 940.395949 740.997727 283.124724 2547.230698 48.93 26760.853 14.5709718127629 25.5 -1085910.51 410564.62 -78271.57
"114" "06/2019" 1626.902976 54.72582 4647.876956 515.009225 5478.846625 3287.492495 934.562062 775.057606 286.631074 2422.763722 47.4 27843.599 13.3295173212639 25.24 -792760.7 315267.13 -59266.35
"115" "07/2019" 1582.244918 24.305242 5123.111728 834.325099 7379.659616 3440.87079 1003.565027 722.86749 326.868157 2459.280409 51.96 30618.493 14.2338209615049 27.92 -769145.68 164834.88 -42439.38
"116" "08/2019" 1255.01214 70.640006 5068.144387 598.405305 7388.506266 2890.769658 1015.180943 745.498771 321.413612 2358.023058 45.37 28715.042 12.0520870676871 26.93 -966421.06 587521.73 19525.48
"117" "09/2019" 1225.264475 104.264726 4995.506281 683.074584 5741.488022 3895.42914 861.514233 454.731865 301.967939 2357.197593 42.59 27811.852 11.89281622142 25.75 -792447.86 610270.2 78318.36
"118" "10/2019" 1122.327883 116.03075 4530.668762 866.157862 5979.694438 3809.5985 794.698796 303.085257 311.601326 2496.488406 47.74 27154.411 12.9803360930654 24.67 -973309.16 387487.86 3887.11
"119" "11/2019" 2663.333138 172.106382 3427.526295 676.648063 4192.460766 7458.615235 525.695997 69.970612 309.135988 2471.281284 43.6 28920.957 13.725405884895 24.55 533762.35 -193189.95 -57791.61
"120" "12/2019" 4639.208858 321.942702 4349.890213 511.83341 3154.649331 5477.398146 518.035794 68.978175 301.056101 2346.120922 35.39 27885.213 12.1164701094563 25.24 404158.63 -840673.5 -22085.63
"121" "01/2020" 3729.343833 233.778898 5289.146024 865.887004 3856.118343 4626.864398 625.344395 85.967851 335.311749 2440.531494 42.06 30520.904 11.8350463025869 24.4 -964147.97 -492243.9 -35848.66
"122" "02/2020" 2838.605407 229.837141 4885.683024 821.301781 2893.614171 4271.307758 973.416316 227.955996 347.616906 2235.304299 36.54 28665.094 9.85805624064726 24.12 -1172306.01 152703.57 -26001.11
"123" "03/2020" 3114.061333 303.523791 5174.945115 474.782536 1910.683244 5601.202209 1067.169174 235.96742 346.296305 2236.957267 28.28 26710.116 8.62897086191508 19.83 -773764.95 232753.94 46998.37
"124" "04/2020" 2862.374612 314.350975 4085.604789 305.139671 2167.51346 3694.767184 1148.584616 206.865437 337.757793 1928.811875 17.81 22582.814 7.35763313147089 20 -783435.34 516324.66 38200.95
"125" "05/2020" 2860.26007 243.639892 3078.957761 242.76348 2440.445298 3964.682319 1636.763284 552.484751 387.289877 2087.155885 21.7 23493.164 5.36783297792909 19.96 -1292631.98 601468.45 18209.45
